id,name,country,coord
833,Ḩeşār-e Sefīd,IR,"{'lon': 47.159401, 'lat': 34.330502}"
2960,‘Ayn Ḩalāqīm,SY,"{'lon': 36.321911, 'lat': 34.940079}"
3245,Taglag,IR,"{'lon': 44.98333, 'lat': 38.450001}"
3530,Qabāghlū,IR,"{'lon': 46.168499, 'lat': 36.173302}"
5174,‘Arīqah,SY,"{'lon': 36.48336, 'lat': 32.889809}"
7264,Kalāteh-ye Dowlat,IR,"{'lon': 57.616982, 'lat': 36.163841}"
8084,Behjatābād,IR,"{'lon': 51.461639, 'lat': 36.667431}"
9874,Ţālesh Maḩalleh,IR,"{'lon': 50.679192, 'lat': 36.894329}"
11263,Shahrīār Kandeh,IR,"{'lon': 53.19902, 'lat': 36.631939}"
11754,Bālā Aḩmad Kolā,IR,"{'lon': 52.667271, 'lat': 36.649059}"
12795,Aş Şūrah aş Şaghīrah,SY,"{'lon': 36.573872, 'lat': 33.032669}"
14177,Āqdūz,IR,"{'lon': 44.26556, 'lat': 39.197498}"
14256,Āzādshahr,IR,"{'lon': 48.570728, 'lat': 34.790878}"
18007,Gollar,IR,"{'lon': 46.25, 'lat': 37.383331}"
18093,Dīgāleh,IR,"{'lon': 45.106998, 'lat': 37.552502}"
18557,Qarālar-e Mīrzā Ḩoseynqolī,IR,"{'lon': 45.067501, 'lat': 37.674702}"
18918,Protaras,CY,"{'lon': 34.058331, 'lat': 35.012501}"
23814,Kahrīz,IR,"{'lon': 47.055302, 'lat': 34.383801}"
24851,Nūrābād,IR,"{'lon': 47.9725, 'lat': 34.073399}"
29033,Rokan Sarā,IR,"{'lon': 49.608101, 'lat': 37.32085}"
30321,Zīrjān,IR,"{'lon': 58.43586, 'lat': 34.214401}"
30485,Dahasuways,YE,"{'lon': 50.729439, 'lat': 15.72389}"
30490,Ash Shihr,YE,"{'lon': 49.606392, 'lat': 14.75863}"
30543,Al Ghaylah,YE,"{'lon': 45.583328, 'lat': 14.59583}"
30616,Judaydah,YE,"{'lon': 45.299622, 'lat': 15.07512}"
30689,Dawran,YE,"{'lon': 44.441959, 'lat': 13.77436}"
30696,Najd al Jumai,YE,"{'lon': 44.324139, 'lat': 13.91581}"
30714,Zalmat al Alya,YE,"{'lon': 44.09404, 'lat': 14.1023}"
30729,Suq ar Rabu,YE,"{'lon': 44.01511, 'lat': 14.51155}"
